(0-0),(0-1),(0-2),(0-3),(0-4),(0-5),(1-0),(1-1),(1-2),(1-3),(1-4),(1-5),(2-0),(2-1),(2-2),(2-3),(2-4),(2-5),(3-0),(3-1),(3-2),(3-3),(3-4),(3-5),(4-0),(4-1),(4-2),(4-3),(4-4),(4-5),(5-0),(5-1),(5-2),(5-3),(5-4),(5-5)
11.361512828387074,0.0,11.361512828387074,11.361512828387074,11.361512828387074,7.93358134151986,11.361512828387074,0.0,0.9363972017053728,0.0,0.0,-0.6261421161031058,-6.796361269911787,-4.715366558719827,6.075402538603892,11.186570948908901,0.0,0.6261421161031058,-6.269103079573117,-4.688266105040347,6.0380793249736415,10.727741835606466,0.0,-5.474897453414809,0.4077555427840608,0.0,0.0,0.0,0.0,-7.531543361548573,-5.9545632583244315,0.6261421161031058,-0.6261421161031058,-11.361512828387074,-11.361512828387074,-6.082805706740205
21.432185919278105,0.0,21.432185919278105,21.432185919278105,21.432185919278105,18.63482997354748,21.432185919278105,0.0,18.938420304447376,0.0,0.0,16.175796371332503,18.87926170244837,18.400118156731498,20.872612381395115,21.087744569093925,0.0,14.440769314747026,7.023283083070002,18.52388145486024,21.03614415554383,21.05979641393003,0.0,14.220133350261188,7.759650907649878,0.0,0.0,0.0,0.0,11.470749574479536,5.525045814986331,7.28593235587967,5.260768695793837,3.262230682043123,5.734861462207007,8.600974588818996
30.358678195042636,0.0,30.358678195042636,30.358678195042636,30.358678195042636,27.561384209493404,30.358678195042636,0.0,27.864912609007717,0.0,0.0,25.10249759444157,27.808897509609,27.358029203614656,29.82966303464352,30.047789587503058,0.0,25.168035977826523,25.583977321472194,27.510070887581207,30.02189149743689,30.045229140254698,0.0,25.232756814968624,21.40115996768248,0.0,0.0,0.0,0.0,22.80289825947949,18.434998093904937,15.959969955798032,13.482281720450677,17.81590200518046,20.197715134449272,22.59928925052562
38.27098590577121,0.0,38.27098590577121,38.27098590577121,38.27098590577121,35.473691922902574,38.27098590577121,0.0,35.7772203197363,0.0,0.0,33.014805314209895,35.72462109242532,35.30131375362929,37.77273540884815,37.99436215726556,0.0,33.69870051704603,33.50313647763525,35.45722934660065,37.96988848975278,37.994206195547115,0.0,33.69882539376109,33.56190072427235,0.0,0.0,0.0,0.0,31.204934931478114,31.136666292567163,31.223993193338337,24.009503882410687,26.428878829601064,28.876727652910365,31.353700854223316
45.284335760923895,0.0,45.284335760923895,45.284335760923895,45.284335760923895,42.48704177805538,45.284335760923895,0.0,42.79057017488898,0.0,0.0,40.02815516936296,42.741133294799496,42.34314248693329,44.814279782593964,45.039076283999854,0.0,41.23158638713197,40.522728368692505,42.50145722720796,45.01439717938599,45.03906678407453,0.0,41.23158662807747,40.58149288004987,0.0,0.0,0.0,0.0,38.737820801097065,38.15665481641898,38.24492143585829,35.838321762904414,34.04011467534237,36.47816970810634,38.94655780437772
51.50086297258375,0.0,51.50086297258375,51.50086297258375,51.50086297258375,48.70356898971522,51.50086297258375,0.0,49.00709738654883,0.0,0.0,46.24468238102281,48.960470890507324,48.58496423639053,51.05585094547328,51.28346476162749,0.0,47.90856734535034,46.744787798691554,48.74529123884828,51.258481561331116,51.28346418296893,0.0,47.90856734581524,46.803552325497,0.0,0.0,0.0,0.0,45.414801759315424,44.378714304440514,44.46698099359698,42.060381513903025,40.736726365093794,43.17232755641612,45.638568511366
57.01109864761069,0.0,57.01109864761069,57.01109864761069,57.01109864761069,54.213804664742185,57.01109864761069,0.0,54.51733306157578,0.0,0.0,51.754918056049775,54.473198093757176,54.11762373129163,56.58828841348647,56.81839992344745,0.0,53.8269421491046,52.25992711010548,54.27972740992901,56.793139746126144,56.81839988820025,0.0,53.826942149105506,52.3186916378519,0.0,0.0,0.0,0.0,51.3331765630697,49.89385361834601,49.98212030927546,47.575520831949106,46.66001558294126,49.09500247250196,51.5607059133524
61.89528818954509,0.0,61.89528818954509,61.89528818954509,61.89528818954509,59.097994206676574,61.89528818954509,0.0,59.40152260351017,0.0,0.0,56.63910759798417,59.35959611580194,59.021689598231546,61.49215748458905,61.72448294109999,0.0,59.07290004009309,57.148463158819446,59.185367671652635,61.69897680288468,61.72448293895302,0.0,59.07290004009309,57.20722768662318,0.0,0.0,0.0,0.0,56.579134454058185,54.782389667211696,54.87065635824904,52.46405688106655,51.9072037546491,54.342036859119865,56.80760573801651
66.22455991010987,0.0,66.22455991010987,66.22455991010987,66.22455991010987,63.427265927241365,66.22455991010987,0.0,63.730794324074964,0.0,0.0,60.968379318548955,63.690825401382014,63.36857940417825,65.8388728540139,66.07316072099228,0.0,63.72283775232475,61.4815875570965,63.53365297148474,66.04743653918977,66.07316072086152,0.0,63.72283775232475,61.540352084903745,0.0,0.0,0.0,0.0,61.22907216628983,59.115514065498,59.20378075654192,56.797181279368175,56.55744945691671,58.992244062632984,61.45777925511944
70.0619608687669,0.0,70.0619608687669,70.0619608687669,70.0619608687669,67.32180765135264,70.0619608687669,0.0,67.568195282732,0.0,0.0,65.35070660788779,67.52996151615486,67.2215967678925,69.69173559985431,69.92776291788903,0.0,67.84447219486918,65.32240347098467,67.38790727829408,69.90184546386998,69.92776291788108,0.0,67.84447219486918,65.38116799879214,0.0,0.0,0.0,0.0,65.35070660883426,62.95632997938675,63.04459667043106,60.63799719325785,60.67916100207744,63.113945969966665,65.57947272935448
